"CountryNm","latlong","variable","value"
"BOLIVIA, PLURINATIONAL STATE OF",NA,"2014-07-01",31
"BONAIRE, SINT EUSTATIUS AND SABA",NA,"2014-07-01",12
"BRITISH INDIAN OCEAN TERRITORY",NA,"2014-07-01",1
"BRUNEI DARUSSALAM",NA,"2014-07-01",21
"CHRISTMAS ISLAND",NA,"2014-07-01",1
"CONGO, DEMOCRATIC REPUBLIC OF THE",NA,"2014-07-01",9
"COTE D'IVOIRE",NA,"2014-07-01",18
"CURACAO",NA,"2014-07-01",189
"FALKLAND ISLANDS (MALVINAS)",NA,"2014-07-01",1
"FIJI",NA,"2014-07-01",5
"FRENCH SOUTHERN TERRITORIES",NA,"2014-07-01",1
"GUERNSEY",NA,"2014-07-01",2585
"HONG KONG",NA,"2014-07-01",2008
"KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF",NA,"2014-07-01",1
"KOREA, REPUBLIC OF",NA,"2014-07-01",448
"LAO PEOPLE'S DEMOCRATIC REPUBLIC",NA,"2014-07-01",13
"MACAO",NA,"2014-07-01",64
"MACEDONIA, THE FORMER YUGOSLAV REPUBLIC OF",NA,"2014-07-01",18
"MOLDOVA, REPUBLIC OF",NA,"2014-07-01",20
"MONTENEGRO",NA,"2014-07-01",7
"MONTSERRAT",NA,"2014-07-01",12
"OTHER",NA,"2014-07-01",32
"RUSSIAN FEDERATION",NA,"2014-07-01",729
"SAINT MARTIN (FRENCH PART)",NA,"2014-07-01",3
"SERBIA",NA,"2014-07-01",32
"SINT MAARTEN (DUTCH PART)",NA,"2014-07-01",17
"SOUTH SUDAN",NA,"2014-07-01",5
"TANZANIA, UNITED REPUBLIC OF",NA,"2014-07-01",16
"TIMOR-LESTE",NA,"2014-07-01",2
"TURKS AND CAICOS ISLANDS",NA,"2014-07-01",35
"UNITED KINGDOM",NA,"2014-07-01",6994
"UNITED STATES",NA,"2014-07-01",620
"VENEZUELA, BOLIVARIAN REPUBLIC OF",NA,"2014-07-01",49
"VIET NAM",NA,"2014-07-01",129
"VIRGIN ISLANDS (BRITISH)",NA,"2014-07-01",2373
"VIRGIN ISLANDS (U.S.)",NA,"2014-07-01",2
"WEST BANK AND GAZA",NA,"2014-07-01",23
"BOLIVIA, PLURINATIONAL STATE OF",NA,"2014-08-01",32
"BONAIRE, SINT EUSTATIUS AND SABA",NA,"2014-08-01",12
"BRITISH INDIAN OCEAN TERRITORY",NA,"2014-08-01",1
"BRUNEI DARUSSALAM",NA,"2014-08-01",22
"CHRISTMAS ISLAND",NA,"2014-08-01",1
"CONGO, DEMOCRATIC REPUBLIC OF THE",NA,"2014-08-01",10
"COTE D'IVOIRE",NA,"2014-08-01",26
"CURACAO",NA,"2014-08-01",198
"FALKLAND ISLANDS (MALVINAS)",NA,"2014-08-01",1
"FIJI",NA,"2014-08-01",6
"FRENCH SOUTHERN TERRITORIES",NA,"2014-08-01",1
"GUERNSEY",NA,"2014-08-01",2830
"HONG KONG",NA,"2014-08-01",2377
"KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF",NA,"2014-08-01",2
"KOREA, REPUBLIC OF",NA,"2014-08-01",525
"LAO PEOPLE'S DEMOCRATIC REPUBLIC",NA,"2014-08-01",15
"MACAO",NA,"2014-08-01",84
"MACEDONIA, THE FORMER YUGOSLAV REPUBLIC OF",NA,"2014-08-01",19
"MOLDOVA, REPUBLIC OF",NA,"2014-08-01",20
"MONTENEGRO",NA,"2014-08-01",9
"MONTSERRAT",NA,"2014-08-01",12
"OTHER",NA,"2014-08-01",64
"RUSSIAN FEDERATION",NA,"2014-08-01",859
"SAINT MARTIN (FRENCH PART)",NA,"2014-08-01",3
"SERBIA",NA,"2014-08-01",40
"SINT MAARTEN (DUTCH PART)",NA,"2014-08-01",17
"SOUTH SUDAN",NA,"2014-08-01",7
"TANZANIA, UNITED REPUBLIC OF",NA,"2014-08-01",22
"TIMOR-LESTE",NA,"2014-08-01",2
"TURKS AND CAICOS ISLANDS",NA,"2014-08-01",36
"UNITED KINGDOM",NA,"2014-08-01",7526
"UNITED STATES",NA,"2014-08-01",658
"VENEZUELA, BOLIVARIAN REPUBLIC OF",NA,"2014-08-01",63
"VIET NAM",NA,"2014-08-01",137
"VIRGIN ISLANDS (BRITISH)",NA,"2014-08-01",2641
"VIRGIN ISLANDS (U.S.)",NA,"2014-08-01",2
"WEST BANK AND GAZA",NA,"2014-08-01",24
"BOLIVIA, PLURINATIONAL STATE OF",NA,"2014-09-01",34
"BONAIRE, SINT EUSTATIUS AND SABA",NA,"2014-09-01",12
"BRITISH INDIAN OCEAN TERRITORY",NA,"2014-09-01",1
"BRUNEI DARUSSALAM",NA,"2014-09-01",22
"CHRISTMAS ISLAND",NA,"2014-09-01",1
"CONGO, DEMOCRATIC REPUBLIC OF THE",NA,"2014-09-01",10
"COTE D'IVOIRE",NA,"2014-09-01",28
"CURACAO",NA,"2014-09-01",196
"FALKLAND ISLANDS (MALVINAS)",NA,"2014-09-01",1
"FIJI",NA,"2014-09-01",6
"FRENCH SOUTHERN TERRITORIES",NA,"2014-09-01",1
"GUERNSEY",NA,"2014-09-01",2973
"HONG KONG",NA,"2014-09-01",2426
"KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF",NA,"2014-09-01",2
"KOREA, REPUBLIC OF",NA,"2014-09-01",536
"LAO PEOPLE'S DEMOCRATIC REPUBLIC",NA,"2014-09-01",15
"MACAO",NA,"2014-09-01",84
"MACEDONIA, THE FORMER YUGOSLAV REPUBLIC OF",NA,"2014-09-01",20
"MOLDOVA, REPUBLIC OF",NA,"2014-09-01",21
"MONTENEGRO",NA,"2014-09-01",9
"MONTSERRAT",NA,"2014-09-01",12
"OTHER",NA,"2014-09-01",78
"RUSSIAN FEDERATION",NA,"2014-09-01",897
"SAINT MARTIN (FRENCH PART)",NA,"2014-09-01",3
"SERBIA",NA,"2014-09-01",41
"SINT MAARTEN (DUTCH PART)",NA,"2014-09-01",17
"SOUTH SUDAN",NA,"2014-09-01",7
"TANZANIA, UNITED REPUBLIC OF",NA,"2014-09-01",23
"TIMOR-LESTE",NA,"2014-09-01",2
"TURKS AND CAICOS ISLANDS",NA,"2014-09-01",37
"UNITED KINGDOM",NA,"2014-09-01",7861
"UNITED STATES",NA,"2014-09-01",679
"VENEZUELA, BOLIVARIAN REPUBLIC OF",NA,"2014-09-01",63
"VIET NAM",NA,"2014-09-01",139
"VIRGIN ISLANDS (BRITISH)",NA,"2014-09-01",2862
"VIRGIN ISLANDS (U.S.)",NA,"2014-09-01",2
"WEST BANK AND GAZA",NA,"2014-09-01",24
"BOLIVIA, PLURINATIONAL STATE OF",NA,"2014-10-01",34
"BONAIRE, SINT EUSTATIUS AND SABA",NA,"2014-10-01",12
"BRITISH INDIAN OCEAN TERRITORY",NA,"2014-10-01",1
"BRUNEI DARUSSALAM",NA,"2014-10-01",22
"CHRISTMAS ISLAND",NA,"2014-10-01",0
"CONGO, DEMOCRATIC REPUBLIC OF THE",NA,"2014-10-01",11
"COTE D'IVOIRE",NA,"2014-10-01",29
"CURACAO",NA,"2014-10-01",207
"FALKLAND ISLANDS (MALVINAS)",NA,"2014-10-01",1
"FIJI",NA,"2014-10-01",6
"FRENCH SOUTHERN TERRITORIES",NA,"2014-10-01",1
"GUERNSEY",NA,"2014-10-01",3163
"HONG KONG",NA,"2014-10-01",2464
"KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF",NA,"2014-10-01",2
"KOREA, REPUBLIC OF",NA,"2014-10-01",544
"LAO PEOPLE'S DEMOCRATIC REPUBLIC",NA,"2014-10-01",15
"MACAO",NA,"2014-10-01",84
"MACEDONIA, THE FORMER YUGOSLAV REPUBLIC OF",NA,"2014-10-01",20
"MOLDOVA, REPUBLIC OF",NA,"2014-10-01",23
"MONTENEGRO",NA,"2014-10-01",9
"MONTSERRAT",NA,"2014-10-01",12
"OTHER",NA,"2014-10-01",226
"RUSSIAN FEDERATION",NA,"2014-10-01",926
"SAINT MARTIN (FRENCH PART)",NA,"2014-10-01",3
"SERBIA",NA,"2014-10-01",41
"SINT MAARTEN (DUTCH PART)",NA,"2014-10-01",17
"SOUTH SUDAN",NA,"2014-10-01",8
"TANZANIA, UNITED REPUBLIC OF",NA,"2014-10-01",24
"TIMOR-LESTE",NA,"2014-10-01",2
"TURKS AND CAICOS ISLANDS",NA,"2014-10-01",39
"UNITED KINGDOM",NA,"2014-10-01",8463
"UNITED STATES",NA,"2014-10-01",686
"VENEZUELA, BOLIVARIAN REPUBLIC OF",NA,"2014-10-01",64
"VIET NAM",NA,"2014-10-01",141
"VIRGIN ISLANDS (BRITISH)",NA,"2014-10-01",3060
"VIRGIN ISLANDS (U.S.)",NA,"2014-10-01",2
"WEST BANK AND GAZA",NA,"2014-10-01",26
"BOLIVIA, PLURINATIONAL STATE OF",NA,"2014-11-01",36
"BONAIRE, SINT EUSTATIUS AND SABA",NA,"2014-11-01",12
"BRITISH INDIAN OCEAN TERRITORY",NA,"2014-11-01",1
"BRUNEI DARUSSALAM",NA,"2014-11-01",22
"CHRISTMAS ISLAND",NA,"2014-11-01",0
"CONGO, DEMOCRATIC REPUBLIC OF THE",NA,"2014-11-01",14
"COTE D'IVOIRE",NA,"2014-11-01",31
"CURACAO",NA,"2014-11-01",220
"FALKLAND ISLANDS (MALVINAS)",NA,"2014-11-01",1
"FIJI",NA,"2014-11-01",6
"FRENCH SOUTHERN TERRITORIES",NA,"2014-11-01",1
"GUERNSEY",NA,"2014-11-01",3419
"HONG KONG",NA,"2014-11-01",2515
"KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF",NA,"2014-11-01",2
"KOREA, REPUBLIC OF",NA,"2014-11-01",544
"LAO PEOPLE'S DEMOCRATIC REPUBLIC",NA,"2014-11-01",16
"MACAO",NA,"2014-11-01",84
"MACEDONIA, THE FORMER YUGOSLAV REPUBLIC OF",NA,"2014-11-01",21
"MOLDOVA, REPUBLIC OF",NA,"2014-11-01",23
"MONTENEGRO",NA,"2014-11-01",9
"MONTSERRAT",NA,"2014-11-01",12
"OTHER",NA,"2014-11-01",775
"RUSSIAN FEDERATION",NA,"2014-11-01",961
"SAINT MARTIN (FRENCH PART)",NA,"2014-11-01",2
"SERBIA",NA,"2014-11-01",42
"SINT MAARTEN (DUTCH PART)",NA,"2014-11-01",18
"SOUTH SUDAN",NA,"2014-11-01",8
"TANZANIA, UNITED REPUBLIC OF",NA,"2014-11-01",24
"TIMOR-LESTE",NA,"2014-11-01",2
"TURKS AND CAICOS ISLANDS",NA,"2014-11-01",40
"UNITED KINGDOM",NA,"2014-11-01",14280
"UNITED STATES",NA,"2014-11-01",719
"VENEZUELA, BOLIVARIAN REPUBLIC OF",NA,"2014-11-01",66
"VIET NAM",NA,"2014-11-01",143
"VIRGIN ISLANDS (BRITISH)",NA,"2014-11-01",3478
"VIRGIN ISLANDS (U.S.)",NA,"2014-11-01",2
"WEST BANK AND GAZA",NA,"2014-11-01",27
"BOLIVIA, PLURINATIONAL STATE OF",NA,"2014-12-01",36
"BONAIRE, SINT EUSTATIUS AND SABA",NA,"2014-12-01",12
"BRITISH INDIAN OCEAN TERRITORY",NA,"2014-12-01",1
"BRUNEI DARUSSALAM",NA,"2014-12-01",22
"CHRISTMAS ISLAND",NA,"2014-12-01",0
"CONGO, DEMOCRATIC REPUBLIC OF THE",NA,"2014-12-01",14
"COTE D'IVOIRE",NA,"2014-12-01",31
"CURACAO",NA,"2014-12-01",232
"FALKLAND ISLANDS (MALVINAS)",NA,"2014-12-01",1
"FIJI",NA,"2014-12-01",6
"FRENCH SOUTHERN TERRITORIES",NA,"2014-12-01",1
"GUERNSEY",NA,"2014-12-01",3677
"HONG KONG",NA,"2014-12-01",2562
"KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF",NA,"2014-12-01",2
"KOREA, REPUBLIC OF",NA,"2014-12-01",546
"LAO PEOPLE'S DEMOCRATIC REPUBLIC",NA,"2014-12-01",18
"MACAO",NA,"2014-12-01",85
"MACEDONIA, THE FORMER YUGOSLAV REPUBLIC OF",NA,"2014-12-01",22
"MOLDOVA, REPUBLIC OF",NA,"2014-12-01",23
"MONTENEGRO",NA,"2014-12-01",10
"MONTSERRAT",NA,"2014-12-01",12
"OTHER",NA,"2014-12-01",778
"RUSSIAN FEDERATION",NA,"2014-12-01",993
"SAINT MARTIN (FRENCH PART)",NA,"2014-12-01",2
