"CountryNm","latlong","variable","value"
"CAYMAN ISLANDS","19.28:-81.39","2014-12-01",22914
"CAYMAN ISLANDS","19.28:-81.39","2014-11-01",21633
"CAYMAN ISLANDS","19.28:-81.39","2014-10-01",20070
"CAYMAN ISLANDS","19.28:-81.39","2014-09-01",19216
"CAYMAN ISLANDS","19.28:-81.39","2014-08-01",18408
"CAYMAN ISLANDS","19.28:-81.39","2014-07-01",17207
"LUXEMBOURG","49.62:6.12","2014-12-01",5607
"LUXEMBOURG","49.62:6.12","2014-11-01",5162
"LUXEMBOURG","49.62:6.12","2014-10-01",4811
"LUXEMBOURG","49.62:6.12","2014-09-01",4620
"SWITZERLAND","46.95:7.44","2014-12-01",4613
"SWITZERLAND","46.95:7.44","2014-11-01",4586
"SWITZERLAND","46.95:7.44","2014-10-01",4544
"SWITZERLAND","46.95:7.44","2014-09-01",4496
"SWITZERLAND","46.95:7.44","2014-08-01",4454
"LUXEMBOURG","49.62:6.12","2014-08-01",4376
"SWITZERLAND","46.95:7.44","2014-07-01",4279
"LUXEMBOURG","49.62:6.12","2014-07-01",4061
"JAPAN","35.67:139.77","2014-12-01",3594
"JAPAN","35.67:139.77","2014-11-01",3560
"JAPAN","35.67:139.77","2014-09-01",3542
"JAPAN","35.67:139.77","2014-10-01",3542
"JAPAN","35.67:139.77","2014-08-01",3514
"JAPAN","35.67:139.77","2014-07-01",3390
"CANADA","45.42:-75.71","2014-12-01",3278
"GERMANY","52.52:13.38","2014-12-01",3257
"BRAZIL","-15.78:-47.91","2014-12-01",3179
"GERMANY","52.52:13.38","2014-11-01",3178
"GERMANY","52.52:13.38","2014-10-01",3120
"GERMANY","52.52:13.38","2014-09-01",3064
"AUSTRIA","48.22:16.37","2014-12-01",3046
"CANADA","45.42:-75.71","2014-11-01",3043
"AUSTRIA","48.22:16.37","2014-08-01",3035
"AUSTRIA","48.22:16.37","2014-10-01",3032
"AUSTRIA","48.22:16.37","2014-09-01",3026
"AUSTRIA","48.22:16.37","2014-11-01",3025
"GERMANY","52.52:13.38","2014-08-01",3014
"AUSTRIA","48.22:16.37","2014-07-01",3010
"FRANCE","48.86:2.34","2014-12-01",2955
"CANADA","45.42:-75.71","2014-10-01",2900
"GERMANY","52.52:13.38","2014-07-01",2894
"JERSEY","49.19:-2.11","2014-12-01",2871
"FRANCE","48.86:2.34","2014-11-01",2858
"BRAZIL","-15.78:-47.91","2014-11-01",2841
"CANADA","45.42:-75.71","2014-09-01",2815
"IRELAND","53.33:-6.25","2014-12-01",2775
"CANADA","45.42:-75.71","2014-08-01",2738
"FRANCE","48.86:2.34","2014-10-01",2736
"NETHERLANDS","52.37:4.89","2014-12-01",2693
"FRANCE","48.86:2.34","2014-09-01",2655
"JERSEY","49.19:-2.11","2014-11-01",2612
"NETHERLANDS","52.37:4.89","2014-11-01",2588
"FRANCE","48.86:2.34","2014-08-01",2587
"AUSTRALIA","-35.31:149.13","2014-12-01",2583
"CANADA","45.42:-75.71","2014-07-01",2566
"AUSTRALIA","-35.31:149.13","2014-11-01",2507
"BRAZIL","-15.78:-47.91","2014-10-01",2498
"NETHERLANDS","52.37:4.89","2014-10-01",2493
"IRELAND","53.33:-6.25","2014-11-01",2462
"BRAZIL","-15.78:-47.91","2014-09-01",2451
"NETHERLANDS","52.37:4.89","2014-09-01",2434
"FRANCE","48.86:2.34","2014-07-01",2422
"BRAZIL","-15.78:-47.91","2014-08-01",2420
"NETHERLANDS","52.37:4.89","2014-08-01",2413
"AUSTRALIA","-35.31:149.13","2014-10-01",2397
"JERSEY","49.19:-2.11","2014-10-01",2395
"BRAZIL","-15.78:-47.91","2014-07-01",2362
"IRELAND","53.33:-6.25","2014-10-01",2293
"NETHERLANDS","52.37:4.89","2014-07-01",2280
"AUSTRALIA","-35.31:149.13","2014-09-01",2261
"JERSEY","49.19:-2.11","2014-09-01",2240
"AUSTRALIA","-35.31:149.13","2014-08-01",2195
"IRELAND","53.33:-6.25","2014-09-01",2190
"IRELAND","53.33:-6.25","2014-08-01",2132
"JERSEY","49.19:-2.11","2014-08-01",2095
"AUSTRALIA","-35.31:149.13","2014-07-01",2073
"IRELAND","53.33:-6.25","2014-07-01",2007
"JERSEY","49.19:-2.11","2014-07-01",1974
"BERMUDA","32.3:-64.79","2014-12-01",1879
"GIBRALTAR","36.14:-5.35","2014-12-01",1878
"GIBRALTAR","36.14:-5.35","2014-11-01",1841
"BERMUDA","32.3:-64.79","2014-11-01",1824
"BERMUDA","32.3:-64.79","2014-10-01",1786
"BERMUDA","32.3:-64.79","2014-09-01",1753
"BERMUDA","32.3:-64.79","2014-08-01",1730
"BERMUDA","32.3:-64.79","2014-07-01",1579
"GIBRALTAR","36.14:-5.35","2014-10-01",1553
"SPAIN","40.42:-3.71","2014-11-01",1331
"SPAIN","40.42:-3.71","2014-12-01",1320
"SPAIN","40.42:-3.71","2014-10-01",1315
"SINGAPORE","1.3:103.85","2014-12-01",1307
"SPAIN","40.42:-3.71","2014-09-01",1303
"SPAIN","40.42:-3.71","2014-08-01",1276
"SINGAPORE","1.3:103.85","2014-11-01",1265
"SPAIN","40.42:-3.71","2014-07-01",1227
"THAILAND","13.73:100.5","2014-12-01",1226
"SINGAPORE","1.3:103.85","2014-10-01",1203
"THAILAND","13.73:100.5","2014-11-01",1194
"MAURITIUS","-20.17:57.51","2014-12-01",1177
"SINGAPORE","1.3:103.85","2014-09-01",1160
"GIBRALTAR","36.14:-5.35","2014-09-01",1156
"THAILAND","13.73:100.5","2014-10-01",1141
